id,o,d,ta,ca,lane_level,road_type
7503,80678500,80687769,7.7,2000,1,residential
7504,80678500,80792476,8.5,2000,1,residential
7505,80678504,80802549,3.8,2000,1,tertiary
7506,80678504,80802549,3.8,2000,2,tertiary
7507,80678504,80742910,7.3,2000,1,tertiary
7508,80678504,80742910,7.3,2000,2,tertiary
7509,80678504,80671123,24.4,2000,1,residential
7510,80678530,80671123,8.2,2000,1,residential
7511,80678530,80729692,11.1,2000,1,residential
7512,80678530,80675222,13.3,2000,1,residential
7513,80678540,80675235,10.2,2000,1,residential
7514,80678540,80723716,4.9,2000,1,residential
7515,80678540,80669832,7.3,2000,1,residential
7516,80678567,80678582,10.0,2000,1,residential
7517,80678567,80675235,21.1,2000,1,residential
7518,80678567,80788709,10.7,2000,1,residential
7519,80678582,80678586,3.4,2000,1,residential
7520,80678582,80678567,10.0,2000,1,residential
7521,80678582,80737924,42.3,2000,1,residential
7522,80678586,80678590,9.2,2000,1,residential
7523,80678586,80678582,3.4,2000,1,residential
7524,80678586,80669832,30.8,2000,1,residential
7525,80678590,80678596,8.5,2000,1,residential
7526,80678590,80678586,9.2,2000,1,residential
7527,80678590,80705006,22.0,2000,1,residential
7528,80678596,80678590,8.5,2000,1,residential
7529,80678596,80691169,21.3,2000,1,residential
7530,80678596,80705006,19.5,2000,1,residential
7531,80678596,80739065,9.6,2000,1,residential
7532,80678615,80746889,12.1,2000,1,secondary
7533,80678615,80746889,12.1,2000,2,secondary
7534,80678615,80746889,12.1,2000,3,secondary
7535,80678615,80746889,12.1,2000,4,secondary
7536,80678615,80678620,10.6,2000,1,residential
7537,80678615,80664118,18.7,2000,1,residential
7538,80678615,80695078,9.3,2000,1,secondary
7539,80678615,80695078,9.3,2000,2,secondary
7540,80678615,80695078,9.3,2000,3,secondary
7541,80678615,80695078,9.3,2000,4,secondary
7542,80678620,80678615,10.6,2000,1,residential
7543,80678620,80695078,19.5,2000,1,residential
7544,80678620,80655055,5.6,2000,1,residential
7545,80678627,80678629,3.8,2000,1,residential
7546,80678627,2453662203,0.8,2000,1,residential
7547,80678627,80719203,15.9,2000,1,residential
7548,80678629,80678631,8.2,2000,1,residential
7549,80678629,80678627,3.8,2000,1,residential
7550,80678629,80719198,12.8,2000,1,residential
7551,80678631,80718997,12.9,2000,1,residential
7552,80678631,80718996,10.5,2000,1,residential
7553,80678631,80678629,8.2,2000,1,residential
7554,80678631,80707857,28.6,2000,1,residential
7555,80678638,80655317,7.9,2000,1,residential
7556,80678638,498701003,6.1,2000,1,residential
7557,80678638,80687596,4.2,2000,1,residential
7558,80678639,80655317,17.7,2000,1,residential
7559,80678639,498701005,6.0,2000,1,residential
7560,80678639,80678645,14.1,2000,1,residential
7561,80678639,80729968,8.0,2000,1,residential
7562,80678645,80678648,12.3,2000,1,residential
7563,80678645,80678639,14.1,2000,1,residential
7564,80678645,80710656,5.1,2000,1,residential
7565,80678648,80677772,7.8,2000,1,residential
7566,80678648,80678645,12.3,2000,1,residential
7567,80678648,80721678,7.1,2000,1,residential
7568,80678649,80678650,10.1,2000,1,residential
7569,80678649,80677772,5.2,2000,1,residential
7570,80678649,80704824,15.6,2000,1,residential
7571,80678650,80678662,11.9,2000,1,residential
7572,80678650,80678649,10.1,2000,1,residential
7573,80678650,80691193,23.0,2000,1,residential
7574,80678662,80678668,7.5,2000,1,residential
7575,80678662,80678668,25.4,2000,1,residential
7576,80678662,80678650,11.9,2000,1,residential
7577,80678668,80678670,9.4,2000,1,residential
7578,80678668,80678662,7.5,2000,1,residential
7579,80678668,80678662,25.4,2000,1,residential
7580,80678668,80691193,13.5,2000,1,residential
7581,80678670,80785277,9.2,2000,1,residential
7582,80678670,80711757,9.8,2000,1,residential
7583,80678670,80678668,9.4,2000,1,residential
7584,80678678,80735678,3.4,2000,1,tertiary
7585,80678678,80735678,3.4,2000,2,tertiary
7586,80678678,80691000,3.7,2000,1,tertiary
7587,80678678,80691000,3.7,2000,2,tertiary
7588,80678678,80678694,22.4,2000,1,residential
7589,80678694,80704960,7.1,2000,1,residential
7590,80678694,80678730,27.0,2000,1,residential
7591,80678694,80678678,22.4,2000,1,residential
7592,80678694,80287887,17.0,2000,1,residential
7593,80678730,80678732,7.5,2000,1,residential
7594,80678730,80287891,5.6,2000,1,residential
7595,80678730,80742799,7.1,2000,1,residential
7596,80678730,80678694,27.0,2000,1,residential
7597,80678732,80669333,13.2,2000,1,residential
7598,80678732,80678730,7.5,2000,1,residential
7599,80678732,80669332,18.4,2000,1,residential
7600,80678735,80677804,3.1,2000,1,residential
7601,80678748,2379639159,5.8,2000,1,residential
7602,80678748,80708578,8.7,2000,1,secondary
7603,80678748,80708578,8.7,2000,2,secondary
7604,80678748,80708578,8.7,2000,3,secondary
7605,80678748,80708578,8.7,2000,4,secondary
7606,80678748,1912064123,14.4,2000,1,secondary
7607,80678748,1912064123,14.4,2000,2,secondary
7608,80678748,1912064123,14.4,2000,3,secondary
7609,80678748,1912064123,14.4,2000,4,secondary
7610,80678748,1912066415,15.4,2000,1,residential
7611,80678752,80678754,7.9,2000,1,tertiary
7612,80678752,80678754,7.9,2000,2,tertiary
7613,80678752,80666984,8.0,2000,1,tertiary
7614,80678752,80666984,8.0,2000,2,tertiary
7615,80678752,80718736,7.5,2000,1,primary
7616,80678752,80718738,7.5,2000,1,primary
7617,80678754,80664547,7.9,2000,1,tertiary
7618,80678754,80664547,7.9,2000,2,tertiary
7619,80678754,80678752,7.9,2000,1,tertiary
7620,80678754,80678752,7.9,2000,2,tertiary
7621,80678754,80710976,8.8,2000,1,residential
7622,80678754,80710974,8.8,2000,1,residential
7623,80678756,80781231,7.9,2000,1,tertiary
7624,80678756,80781231,7.9,2000,2,tertiary
7625,80678756,80742955,7.8,2000,1,tertiary
7626,80678756,80742955,7.8,2000,2,tertiary
7627,80678756,80678758,8.8,2000,1,residential
7628,80678756,80664547,7.9,2000,1,tertiary
7629,80678756,80664547,7.9,2000,2,tertiary
7630,80678758,80678760,8.8,2000,1,residential
7631,80678758,80678756,8.8,2000,1,residential
7632,80678758,80729726,8.7,2000,1,residential
7633,80678760,80725451,8.7,2000,1,residential
7634,80678760,80678758,8.8,2000,1,residential
7635,80678760,80725450,8.7,2000,1,residential
7636,80678760,80741362,17.4,2000,1,residential
7637,80678766,80678769,17.9,2000,1,tertiary
7638,80678766,80742972,8.6,2000,1,residential
7639,80678766,80661732,7.9,2000,1,tertiary
7640,80678766,80698198,21.5,2000,1,residential
7641,80678769,80678771,13.7,2000,1,tertiary
7642,80678769,80678766,17.9,2000,1,tertiary
7643,80678769,80698198,11.7,2000,1,residential
7644,80678771,80647585,15.7,2000,1,tertiary
7645,80678771,80678769,13.7,2000,1,tertiary
7646,80678771,80742976,9.9,2000,1,residential
7647,80678771,80766487,9.5,2000,1,residential
7648,80678771,80802348,4.1,2000,1,residential
7649,80678773,80647585,7.9,2000,1,tertiary
7650,80678773,80759410,15.7,2000,1,tertiary
7651,80678773,80759410,15.7,2000,2,tertiary
7652,80678773,80678782,6.9,2000,1,tertiary
7653,80678773,10275900273,75.6,2000,1,tertiary
7654,80678773,10275900273,75.6,2000,2,tertiary
7655,80678782,80664483,14.8,2000,1,tertiary
7656,80678782,80678773,6.9,2000,1,tertiary
7657,80678782,80718393,11.3,2000,1,residential
7658,80678787,80742981,7.9,2000,1,tertiary
7659,80678787,80742981,7.9,2000,2,tertiary
7660,80678787,80678789,8.6,2000,1,residential
7661,80678787,80752626,3.6,2000,1,tertiary
7662,80678787,80752626,3.6,2000,2,tertiary
7663,80678789,80703834,14.6,2000,1,residential
7664,80678789,80703832,8.8,2000,1,residential
7665,80678789,80647976,16.1,2000,1,residential
7666,80678789,80678787,8.6,2000,1,residential
7667,80678791,80678793,5.1,2000,1,residential
7668,80678791,80647976,9.5,2000,1,residential
7669,80678791,80724418,10.4,2000,1,residential
7670,80678793,80678791,5.1,2000,1,residential
7671,80678793,80669568,8.1,2000,1,residential
7672,80678793,80678805,11.9,2000,1,residential
7673,80678805,80678793,11.9,2000,1,residential
7674,80678805,80697496,7.1,2000,1,residential
7675,80678805,80741544,7.9,2000,1,residential
7676,80678812,80753810,7.6,2000,1,residential
7677,80678812,80678832,19.9,2000,1,residential
7678,80678812,80725109,26.7,2000,1,residential
7679,80678832,80678833,7.6,2000,1,residential
7680,80678832,80678812,19.9,2000,1,residential
7681,80678832,80786189,7.4,2000,1,residential
7682,80678833,80678832,7.6,2000,1,residential
7683,80678833,80678847,6.9,2000,1,residential
7684,80678833,80721668,26.3,2000,1,residential
7685,80678847,80725109,8.9,2000,1,residential
7686,80678847,80678833,6.9,2000,1,residential
7687,80678847,80721650,21.7,2000,1,residential
7688,80678853,80678855,12.6,2000,1,residential
7689,80678853,80707290,12.5,2000,1,residential
7690,80678853,12516839934,9.5,2000,1,residential
7691,80678853,12516839934,9.5,2000,2,residential
7692,80678853,80671940,10.3,2000,1,residential
7693,80678853,80671940,10.3,2000,2,residential
7694,80678855,80678857,12.7,2000,1,residential
7695,80678855,80653458,9.2,2000,1,tertiary
7696,80678855,80653458,9.2,2000,2,tertiary
7697,80678855,80671942,9.3,2000,1,tertiary
7698,80678855,80671942,9.3,2000,2,tertiary
7699,80678855,80678853,12.6,2000,1,residential
7700,80678857,80678855,12.7,2000,1,residential
7701,80678857,80653461,10.1,2000,1,residential
7702,80678857,80671944,10.4,2000,1,residential
7703,80678857,80678359,12.6,2000,1,residential
7704,80678859,11504837526,10.3,2000,1,residential
7705,80678859,80671949,10.6,2000,1,residential
7706,80678859,80678861,12.6,2000,1,residential
7707,80678859,80678359,12.7,2000,1,residential
7708,80678861,80678863,12.6,2000,1,residential
7709,80678861,80678859,12.6,2000,1,residential
7710,80678861,80671951,10.7,2000,1,residential
7711,80678863,80649830,12.7,2000,1,residential
7712,80678863,80678861,12.6,2000,1,residential
7713,80678863,80653469,10.3,2000,1,residential
7714,80678863,80671953,10.7,2000,1,residential
7715,80678865,80671339,12.5,2000,1,residential
7716,80678865,80649830,12.6,2000,1,residential
7717,80678865,80653473,10.4,2000,1,residential
7718,80678865,10240693901,10.0,2000,1,residential
7719,80678867,80671339,12.2,2000,1,residential
7720,80678867,80678869,12.1,2000,1,residential
7721,80678867,80653477,9.5,2000,1,tertiary
7722,80678867,10240693904,9.0,2000,1,tertiary
7723,80678869,80695006,6.7,2000,1,residential
7724,80678869,80678883,2.1,2000,1,residential
7725,80678869,80678867,12.1,2000,1,residential
7726,80678874,2447712068,7.7,2000,1,trunk
7727,80678874,2447712068,7.7,2000,2,trunk
7728,80678878,80719380,16.0,2000,1,unclassified
7729,80678883,80678869,2.1,2000,1,residential
7730,80678883,80678891,23.3,2000,1,residential
7731,80678883,10240693906,8.1,2000,1,residential
7732,80678891,80653491,10.6,2000,1,unclassified
7733,80678891,80719480,7.5,2000,1,unclassified
7734,80678891,80678883,23.3,2000,1,residential
7735,80678945,80678952,10.9,2000,1,residential
7736,80678945,80681797,12.3,2000,1,residential
7737,80678945,80681793,22.6,2000,1,residential
7738,80678952,80719575,18.0,2000,1,residential
7739,80678952,80678956,9.8,2000,1,residential
7740,80678952,80678945,10.9,2000,1,residential
7741,80678952,80752446,16.8,2000,1,residential
7742,80678956,80688053,22.6,2000,1,residential
7743,80678956,80678952,9.8,2000,1,residential
7744,80678956,80688051,12.2,2000,1,residential
7745,80681059,80681065,20.4,2000,1,unclassified
7746,80681065,80686994,39.7,2000,1,unclassified
7747,80681065,80698035,41.6,2000,1,unclassified
7748,80681065,80681059,20.4,2000,1,unclassified
7749,80681080,80662434,8.1,2000,1,residential
7750,80681080,80697753,22.4,2000,1,residential
7751,80681080,80697757,13.4,2000,1,residential
7752,80681260,80670471,19.8,2000,1,residential
7753,80681260,80730311,8.4,2000,1,residential
7754,80681260,80667497,8.3,2000,1,residential
7755,80681263,80681264,7.2,2000,1,residential
7756,80681263,80671016,3.8,2000,1,tertiary
7757,80681263,80671016,3.8,2000,2,tertiary
7758,80681263,80728433,8.8,2000,1,tertiary
7759,80681263,80728433,8.8,2000,2,tertiary
7760,80681264,80681266,10.3,2000,1,residential
7761,80681264,80681263,7.2,2000,1,residential
7762,80681264,80647550,9.6,2000,1,residential
7763,80681264,80723803,9.7,2000,1,residential
7764,80681266,80681268,5.8,2000,1,residential
7765,80681266,80681264,10.3,2000,1,residential
7766,80681266,80647552,9.7,2000,1,residential
7767,80681268,80681269,4.0,2000,1,residential
7768,80681268,80681266,5.8,2000,1,residential
7769,80681268,80730455,9.7,2000,1,residential
7770,80681269,80681271,9.6,2000,1,residential
7771,80681269,80681268,4.0,2000,1,residential
7772,80681269,80647554,9.7,2000,1,residential
7773,80681271,80681269,9.6,2000,1,residential
7774,80681271,80647556,9.8,2000,1,residential
7775,80681271,80681288,5.2,2000,1,residential
7776,80681274,80681276,18.6,2000,1,residential
7777,80681274,80759816,4.9,2000,1,residential
7778,80681274,80759812,13.6,2000,1,residential
7779,80681276,80681278,8.1,2000,1,residential
7780,80681276,80681274,18.6,2000,1,residential
7781,80681276,80737374,13.4,2000,1,residential
7782,80681276,80737356,22.0,2000,1,residential
7783,80681278,80681280,8.1,2000,1,residential
7784,80681278,80681276,8.1,2000,1,residential
7785,80681278,80722834,13.4,2000,1,residential
7786,80681278,80722833,13.9,2000,1,residential
7787,80681280,80681278,8.1,2000,1,residential
7788,80681280,4634000039,12.0,2000,1,tertiary
7789,80681280,4634000039,12.0,2000,2,tertiary
7790,80681280,80754186,16.2,2000,1,tertiary
7791,80681280,80754186,16.2,2000,2,tertiary
7792,80681284,2453664533,1.1,2000,1,tertiary
7793,80681284,2453664533,1.1,2000,2,tertiary
7794,80681284,80718201,69.7,2000,1,tertiary
7795,80681284,80718201,69.7,2000,2,tertiary
7796,80681284,80693031,43.1,2000,1,secondary
7797,80681284,80693031,43.1,2000,2,secondary
7798,80681286,80648156,15.5,2000,1,residential
7799,80681286,80754061,5.6,2000,1,residential
7800,80681286,2453664533,4.5,2000,1,residential
7801,80681288,80797134,4.5,2000,1,residential
7802,80681288,80681271,5.2,2000,1,residential
7803,80681288,80681305,13.0,2000,1,residential
7804,80681305,80662907,5.7,2000,1,residential
7805,80681305,80681288,13.0,2000,1,residential
7806,80681305,80809349,10.5,2000,1,residential
7807,80681351,80681353,9.1,2000,1,primary
7808,80681351,80681353,9.1,2000,2,primary
7809,80681351,80681353,9.1,2000,3,primary
7810,80681351,80681353,9.1,2000,4,primary
7811,80681351,80672042,38.4,2000,1,primary
7812,80681351,80672042,38.4,2000,2,primary
7813,80681351,80672042,38.4,2000,3,primary
7814,80681351,80672042,38.4,2000,4,primary
7815,80681351,80695418,16.5,2000,1,tertiary
7816,80681351,80695418,16.5,2000,2,tertiary
7817,80681351,80695418,16.5,2000,3,tertiary
7818,80681351,80695418,16.5,2000,4,tertiary
7819,80681351,80638821,13.4,2000,1,secondary
7820,80681353,80650129,53.4,2000,1,residential
7821,80681353,80681355,8.6,2000,1,primary
7822,80681353,80681355,8.6,2000,2,primary
7823,80681353,80681355,8.6,2000,3,primary
7824,80681353,80681355,8.6,2000,4,primary
7825,80681353,80681351,9.1,2000,1,primary
7826,80681353,80681351,9.1,2000,2,primary
7827,80681353,80681351,9.1,2000,3,primary
7828,80681353,80681351,9.1,2000,4,primary
7829,80681355,80650130,53.3,2000,1,residential
7830,80681355,80681357,8.6,2000,1,primary
7831,80681355,80681357,8.6,2000,2,primary
7832,80681355,80681357,8.6,2000,3,primary
7833,80681355,80681357,8.6,2000,4,primary
7834,80681355,80681353,8.6,2000,1,primary
7835,80681355,80681353,8.6,2000,2,primary
7836,80681355,80681353,8.6,2000,3,primary
7837,80681355,80681353,8.6,2000,4,primary
7838,80681357,80650131,53.3,2000,1,residential
7839,80681357,80681359,8.6,2000,1,primary
7840,80681357,80681359,8.6,2000,2,primary
7841,80681357,80681359,8.6,2000,3,primary
7842,80681357,80681359,8.6,2000,4,primary
7843,80681357,80681355,8.6,2000,1,primary
7844,80681357,80681355,8.6,2000,2,primary
7845,80681357,80681355,8.6,2000,3,primary
7846,80681357,80681355,8.6,2000,4,primary
7847,80681359,80650133,53.2,2000,1,residential
7848,80681359,80681364,8.5,2000,1,primary
7849,80681359,80681364,8.5,2000,2,primary
7850,80681359,80681364,8.5,2000,3,primary
7851,80681359,80681364,8.5,2000,4,primary
7852,80681359,80681357,8.6,2000,1,primary
7853,80681359,80681357,8.6,2000,2,primary
7854,80681359,80681357,8.6,2000,3,primary
7855,80681359,80681357,8.6,2000,4,primary
7856,80681364,80650135,53.2,2000,1,residential
7857,80681364,10879937982,8.2,2000,1,primary
7858,80681364,10879937982,8.2,2000,2,primary
7859,80681364,10879937982,8.2,2000,3,primary
7860,80681364,10879937982,8.2,2000,4,primary
7861,80681364,80681359,8.5,2000,1,primary
7862,80681364,80681359,8.5,2000,2,primary
7863,80681364,80681359,8.5,2000,3,primary
7864,80681364,80681359,8.5,2000,4,primary
7865,80681366,10879937982,0.9,2000,1,primary
7866,80681366,10879937982,0.9,2000,2,primary
7867,80681366,10879937982,0.9,2000,3,primary
7868,80681366,10879937982,0.9,2000,4,primary
7869,80681366,80681369,12.0,2000,1,secondary
7870,80681366,80681369,12.0,2000,2,secondary
7871,80681366,80681369,12.0,2000,3,secondary
7872,80681366,80681369,12.0,2000,4,secondary
7873,80681366,10750046387,10.5,2000,1,primary
7874,80681366,10750046387,10.5,2000,2,primary
7875,80681369,2453664515,10.7,2000,1,unclassified
7876,80681369,80681370,12.6,2000,1,secondary
7877,80681369,80681370,12.6,2000,2,secondary
7878,80681369,80681370,12.6,2000,3,secondary
7879,80681369,80681370,12.6,2000,4,secondary
7880,80681369,80681366,12.0,2000,1,secondary
7881,80681369,80681366,12.0,2000,2,secondary
7882,80681369,80681366,12.0,2000,3,secondary
7883,80681369,80681366,12.0,2000,4,secondary
7884,80681370,80681372,12.4,2000,1,secondary
7885,80681370,80681372,12.4,2000,2,secondary
7886,80681370,80681372,12.4,2000,3,secondary
7887,80681370,80681372,12.4,2000,4,secondary
7888,80681370,80681369,12.6,2000,1,secondary
7889,80681370,80681369,12.6,2000,2,secondary
7890,80681370,80681369,12.6,2000,3,secondary
7891,80681370,80681369,12.6,2000,4,secondary
7892,80681370,80667945,38.4,2000,1,unclassified
7893,80681372,80681374,2.0,2000,1,secondary
7894,80681372,80681374,2.0,2000,2,secondary
7895,80681372,80681374,2.0,2000,3,secondary
7896,80681372,80681374,2.0,2000,4,secondary
7897,80681372,80647534,42.7,2000,1,unclassified
7898,80681372,80681370,12.4,2000,1,secondary
7899,80681372,80681370,12.4,2000,2,secondary
7900,80681372,80681370,12.4,2000,3,secondary
7901,80681372,80681370,12.4,2000,4,secondary
7902,80681374,12251500495,2.8,2000,1,secondary
7903,80681374,12251500495,2.8,2000,2,secondary
7904,80681374,12251500495,2.8,2000,3,secondary
7905,80681374,12251500495,2.8,2000,4,secondary
7906,80681374,80681372,2.0,2000,1,secondary
7907,80681374,80681372,2.0,2000,2,secondary
7908,80681374,80681372,2.0,2000,3,secondary
7909,80681374,80681372,2.0,2000,4,secondary
7910,80681374,80667947,38.2,2000,1,unclassified
7911,80681376,12251500493,0.7,2000,1,tertiary
7912,80681376,12251500493,0.7,2000,2,tertiary
7913,80681376,12251500493,0.7,2000,3,tertiary
7914,80681376,12251500493,0.7,2000,4,tertiary
7915,80681376,80647535,31.3,2000,1,tertiary
7916,80681376,80647535,31.3,2000,2,tertiary
7917,80681376,80681382,14.0,2000,1,secondary
7918,80681376,80681382,14.0,2000,2,secondary
7919,80681376,80681382,14.0,2000,3,secondary
7920,80681382,80647537,34.9,2000,1,residential
7921,80681382,80681391,12.6,2000,1,secondary
7922,80681382,80681391,12.6,2000,2,secondary
7923,80681382,80681391,12.6,2000,3,secondary
7924,80681391,12251500497,7.2,2000,1,secondary
7925,80681391,12251500497,7.2,2000,2,secondary
7926,80681391,12251500497,7.2,2000,3,secondary
7927,80681391,80647543,30.5,2000,1,tertiary
7928,80681391,80647543,30.5,2000,2,tertiary
7929,80681407,11920687900,0.7,2000,1,unclassified
7930,80681407,6725964648,84.1,2000,1,residential
7931,80681407,80681411,7.4,2000,1,tertiary
7932,80681407,80681411,7.4,2000,2,tertiary
7933,80681411,11920687900,7.3,2000,1,tertiary
7934,80681411,11920687900,7.3,2000,2,tertiary
7935,80681411,80677606,129.6,2000,1,tertiary
7936,80681411,80677606,129.6,2000,2,tertiary
7937,80681435,80724259,5.4,2000,1,residential
7938,80681435,80704942,8.2,2000,1,residential
7939,80681435,80681442,24.8,2000,1,residential
7940,80681442,80812598,8.2,2000,1,residential
7941,80681442,80704938,7.7,2000,1,residential
7942,80681442,80705079,29.9,2000,1,residential
7943,80681442,80681435,24.8,2000,1,residential
7944,80681483,80675299,12.9,2000,1,residential
7945,80681483,80675299,27.1,2000,1,residential
7946,80681483,80766031,8.7,2000,1,residential
7947,80681490,80650135,15.8,2000,1,residential
7948,80681528,2447689319,4.6,2000,1,tertiary
7949,80681528,2447689319,4.6,2000,2,tertiary
7950,80681528,2447689320,2.9,2000,1,secondary
7951,80681528,2447689320,2.9,2000,2,secondary
7952,80681528,2447689320,2.9,2000,3,secondary
7953,80681528,80670705,12.5,2000,1,tertiary
7954,80681528,80670705,12.5,2000,2,tertiary
7955,80681528,80655531,9.5,2000,1,secondary
7956,80681534,12496847245,0.9,2000,1,residential
7957,80681534,80802794,8.6,2000,1,residential
7958,80681534,80681536,11.7,2000,1,residential
7959,80681536,80681534,11.7,2000,1,residential
7960,80681550,80681551,3.0,2000,1,residential
7961,80681551,80681550,3.0,2000,1,residential
7962,80681551,80653524,6.9,2000,1,tertiary
7963,80681551,80653524,6.9,2000,2,tertiary
7964,80681551,80754192,9.0,2000,1,tertiary
7965,80681551,80754192,9.0,2000,2,tertiary
7966,80681551,80769473,6.1,2000,1,residential
7967,80681556,80681558,15.8,2000,1,residential
7968,80681556,80697761,16.2,2000,1,residential
7969,80681556,80807610,11.1,2000,1,residential
7970,80681558,80681556,15.8,2000,1,residential
7971,80681558,80687717,4.2,2000,1,residential
7972,80681558,80718024,45.4,2000,1,residential
7973,80681615,80788390,20.1,2000,1,residential
7974,80681615,80681637,30.6,2000,1,residential
7975,80681615,80691949,8.3,2000,1,residential
7976,80681637,80681615,30.6,2000,1,residential
7977,80681644,80704846,7.2,2000,1,primary
7978,80681644,80704846,7.2,2000,2,primary
7979,80681644,80704846,7.2,2000,3,primary
7980,80681644,80704846,7.2,2000,4,primary
7981,80681644,80664572,2.2,2000,1,primary
7982,80681644,80664572,2.2,2000,2,primary
7983,80681644,80664572,2.2,2000,3,primary
7984,80681644,80664572,2.2,2000,4,primary
7985,80681644,80681661,23.5,2000,1,residential
7986,80681661,80704850,10.8,2000,1,residential
7987,80681661,80704850,10.8,2000,2,residential
7988,80681661,7597147978,6.8,2000,1,living_street
7989,80681661,80681664,9.7,2000,1,residential
7990,80681661,80681644,23.5,2000,1,residential
7991,80681664,80681666,9.8,2000,1,residential
7992,80681664,80704852,10.5,2000,1,residential
7993,80681664,80681661,9.7,2000,1,residential
7994,80681664,1374415923,19.6,2000,1,residential
7995,80681666,80681668,9.7,2000,1,residential
7996,80681666,80681664,9.8,2000,1,residential
7997,80681666,1374415923,7.0,2000,1,secondary
7998,80681666,1374415923,7.0,2000,2,secondary
7999,80681666,1374415923,7.0,2000,3,secondary
8000,80681666,1374415923,7.0,2000,4,secondary
8001,80681666,80704853,7.5,2000,1,secondary
8002,80681666,80704853,7.5,2000,2,secondary
8003,80681666,80704853,7.5,2000,3,secondary
8004,80681666,80704853,7.5,2000,4,secondary
8005,80681668,80681674,36.5,2000,1,residential
8006,80681668,80681666,9.7,2000,1,residential
8007,80681668,80692101,10.5,2000,1,residential
8008,80681674,80647899,10.0,2000,1,residential
8009,80681674,80681668,36.5,2000,1,residential
8010,80681674,80703817,9.0,2000,1,tertiary
8011,80681674,80703815,9.4,2000,1,tertiary
8012,80681676,80647899,10.1,2000,1,residential
8013,80681676,2449018678,9.7,2000,1,residential
8014,80681676,80737587,10.2,2000,1,residential
8015,80681676,80704858,10.5,2000,1,residential
8016,80681677,2449018678,0.7,2000,1,residential
8017,80681677,80796489,6.4,2000,1,tertiary
8018,80681684,80647554,12.2,2000,1,residential
8019,80681684,80792527,8.3,2000,1,tertiary
8020,80681684,80792527,8.3,2000,2,tertiary
8021,80681684,80693016,10.8,2000,1,residential
8022,80681684,80790970,4.9,2000,1,tertiary
8023,80681684,80790970,4.9,2000,2,tertiary
8024,80681688,80677546,4.4,2000,1,residential
8025,80681691,80667489,10.3,2000,1,residential
8026,80681691,80723908,8.5,2000,1,residential
8027,80681691,2450345339,10.4,2000,1,residential
8028,80681691,80681703,35.3,2000,1,residential
8029,80681703,80723896,7.5,2000,1,tertiary
8030,80681703,80723896,7.5,2000,2,tertiary
8031,80681703,80681691,35.3,2000,1,residential
8032,80681703,80693754,16.5,2000,1,tertiary
8033,80681703,80737531,9.0,2000,1,tertiary
8034,80681703,80737531,9.0,2000,2,tertiary
8035,80681707,80681715,8.3,2000,1,residential
8036,80681707,80647938,39.6,2000,1,secondary
8037,80681707,80647938,39.6,2000,2,secondary
8038,80681707,80661710,9.0,2000,1,secondary
8039,80681707,80661710,9.0,2000,2,secondary
8040,80681707,80661710,9.0,2000,3,secondary
8041,80681707,80661710,9.0,2000,4,secondary
8042,80681715,80681707,8.3,2000,1,residential
8043,80681757,80681759,8.7,2000,1,residential
8044,80681757,80666976,8.8,2000,1,residential
8045,80681757,80744316,8.9,2000,1,residential
8046,80681757,80744311,8.6,2000,1,residential
8047,80681759,80681761,8.7,2000,1,residential
8048,80681759,80681757,8.7,2000,1,residential
8049,80681759,80722824,8.8,2000,1,residential
8050,80681759,80722822,8.6,2000,1,residential
8051,80681761,80681763,8.9,2000,1,residential
8052,80681761,80681759,8.7,2000,1,residential
8053,80681761,80719227,8.6,2000,1,residential
8054,80681761,80719229,8.7,2000,1,residential
8055,80681763,80638990,8.7,2000,1,residential
8056,80681763,80681761,8.9,2000,1,residential
8057,80681763,80718999,8.5,2000,1,residential
8058,80681763,80718998,8.8,2000,1,residential
8059,80681765,80681767,8.2,2000,1,residential
8060,80681765,80638990,8.8,2000,1,residential
8061,80681765,11270945431,12.8,2000,1,residential
8062,80681765,80638988,17.4,2000,1,residential
8063,80681767,80681765,8.2,2000,1,residential
8064,80681773,80681775,9.0,2000,1,residential
8065,80681773,80766079,6.4,2000,1,secondary
8066,80681773,80766079,6.4,2000,2,secondary
8067,80681773,80766079,6.4,2000,3,secondary
8068,80681773,80766079,6.4,2000,4,secondary
8069,80681773,80737640,12.8,2000,1,secondary
8070,80681773,80737640,12.8,2000,2,secondary
8071,80681773,80737640,12.8,2000,3,secondary
8072,80681773,80737640,12.8,2000,4,secondary
8073,80681775,80681773,9.0,2000,1,residential
8074,80681775,80739212,8.7,2000,1,residential
8075,80681775,80739210,4.3,2000,1,residential
8076,80681775,80766081,17.4,2000,1,residential
8077,80681791,80671051,17.9,2000,1,residential
8078,80681791,80752503,5.0,2000,1,residential
8079,80681791,80681851,2.0,2000,1,residential
8080,80681793,80671051,17.7,2000,1,residential
8081,80681793,80752446,7.8,2000,1,tertiary
8082,80681793,80752446,7.8,2000,2,tertiary
8083,80681793,80678945,22.6,2000,1,residential
8084,80681793,80692374,7.9,2000,1,tertiary
8085,80681793,80692374,7.9,2000,2,tertiary
8086,80681797,80681799,17.8,2000,1,residential
8087,80681797,80678945,12.3,2000,1,residential
8088,80681797,80719575,7.9,2000,1,tertiary
8089,80681797,80719575,7.9,2000,2,tertiary
8090,80681797,80692376,7.9,2000,1,tertiary
8091,80681797,80692376,7.9,2000,2,tertiary
8092,80681799,80681801,17.6,2000,1,residential
