id,o,d,ta,ca,lane_level,road_type
141,80230329,11225659352,7.5,2000,2,secondary
142,80230529,80230529,6.8,2000,1,residential
143,80230529,80230529,6.8,2000,1,residential
144,80230529,80803053,13.7,2000,1,residential
145,80230774,80262912,0.9,2000,1,secondary
146,80230774,80262912,0.9,2000,2,secondary
147,80230774,80299691,5.6,2000,1,residential
148,80230776,80262910,1.4,2000,1,residential
149,80230776,80239323,7.8,2000,1,residential
150,80230776,1375180868,5.7,2000,1,residential
151,80230781,80230776,7.2,2000,1,residential
152,80230781,80230798,19.7,2000,1,residential
153,80230798,80239311,43.8,2000,1,residential
154,80230798,80239311,14.0,2000,1,residential
155,80230798,80230781,19.7,2000,1,residential
156,80230884,80230889,9.3,2000,1,residential
157,80230884,80237120,8.4,2000,1,residential
158,80230884,80237118,9.6,2000,1,residential
159,80230884,80241323,28.7,2000,1,residential
160,80230889,80230884,9.3,2000,1,residential
161,80230889,80233222,17.4,2000,1,residential
162,80230889,80230897,9.6,2000,1,residential
163,80230897,80235212,6.2,2000,1,residential
164,80230897,80230889,9.6,2000,1,residential
165,80230897,80230902,6.7,2000,1,residential
166,80230902,80233196,20.6,2000,1,residential
167,80230902,80233151,35.8,2000,1,residential
168,80230902,80230897,6.7,2000,1,residential
169,80230902,80230929,13.9,2000,1,residential
170,80230929,2462411165,1.3,2000,1,residential
171,80230929,80230902,13.9,2000,1,residential
172,80230929,1351495810,27.9,2000,1,primary
173,80232181,80232220,25.6,2000,1,residential
174,80232181,80232289,19.0,2000,1,residential
175,80232181,80232255,17.9,2000,1,residential
176,80232220,80234551,8.0,2000,1,tertiary
177,80232220,80234551,8.0,2000,2,tertiary
178,80232220,80232255,8.1,2000,1,tertiary
179,80232220,80232255,8.1,2000,2,tertiary
180,80232220,80232181,25.6,2000,1,residential
181,80232220,80232222,4.1,2000,1,residential
182,80232222,80232247,7.8,2000,1,residential
183,80232222,80232247,22.2,2000,1,residential
184,80232222,80235416,5.7,2000,1,residential
185,80232222,80232220,4.1,2000,1,residential
